id,time,state
0,0.0,0
1,8.694919,1
2,18.677103,0
3,28.64701,1
4,42.890068,0
5,43.916832,1
6,44.372654,0
7,44.832504,1
8,45.239017,0
9,45.69068,1
10,46.060516,0
11,46.47052,1
12,46.86285,0
13,47.235226,1
14,47.61799,0
15,47.98945,1
16,48.365143,0
17,48.734848,1
18,49.1072,0
19,49.477314,1
20,49.820595,0
21,50.234962,1
22,50.607563,0
23,50.94368,1
24,51.335373,0
25,51.704754,1
26,88.03263,0
27,89.291534,1
28,89.698006,0
29,90.116776,1
30,90.49634,0
31,90.858604,1
32,91.22888,0
33,91.629265,1
34,92.00957,0
35,92.348854,1
36,92.69587,0
37,93.07057,1
38,93.41151,0
39,93.73977,1
40,94.11791,0
41,94.45152,1
42,94.8239,0
43,95.183945,1
44,95.55538,0
45,95.8922,1
46,96.22026,0
47,96.5913,1
48,96.96173,0
49,97.33361,1
50,97.68018,0
51,98.91659,1
52,106.53162,0
53,108.556,0
